"event_name","group","date","category"
"Empower Your Brain's Search Engine to Find Love, Success & Inner Peace","by Attachment Pathwayicon4.6","Thu, Dec 4 · 7:00 PM EST","General"
"[Tuesday] Discussion: Apology","by New York Interesting Conversationsicon4.6","Every two weeks on Tue • Dec 9 · 7:00 PM EST","General"
"Movie, Art and Design meet","by NYC MAD - Movie, Art and Designicon4.6","Sun, Dec 14 · 4:00 PM EST","General"
"The Discourses of Epictetus, episode 1","by The Philosophy Labicon4.7","Sun, Dec 7 · 12:00 PM EST","General"
"NY Meetup: Agentic AI night with LibreChat","by ClickHouse New York User Groupicon4.7","Mon, Dec 8 · 5:00 PM EST","General"
"Healing from Trauma By Working With Your Parts: An Intro to IFS","by Build On Your Strengths: Workshops for Your Well-Beingicon4.7","Thu, Dec 4 · 7:00 PM EST","General"
"NYC Airflow Meetup at Astronomer HQ!","by NYC Apache Airflow Meetupicon4.7","Wed, Dec 17 · 5:30 PM EST","General"
"[FILM MEETUP] Season 2 Finale (S2C20) Screening!","by Short Cutsicon4.9","Sat, Dec 6 · 1:00 PM EST","General"
"Let's Draw!","by Socially Awkward but I'm Tryingicon4.7","Sat, Dec 6 · 3:00 PM EST","General"
"TOPSPIN - The NYC Ping Pong Meetup Group","by TOPSPIN - The NYC Ping Pong Meetup Groupicon4.8","Sat, Dec 6 · 2:00 PM EST","General"
"Central Park beginner Runners","by Central Park beginner runnersicon4.9","Every Sun • Dec 7 · 10:00 AM EST","General"
"Buddhism 101 - The different levels of holy beings and how to become one","by Buddhism 101 - Marylandicon4.2","Sat, Dec 6 · 11:00 AM EST","General"
"Brooklyn Bridge Sunset Date Walk (aka Singles Stroll)","by The New York City Social Group (27,000+ members!)icon4.5","Sat, Dec 6 · 4:00 PM EST","General"
"Blood on the Clocktower","by Uptown NYC Board Gamersicon4.8","Every Fri • Dec 5 · 6:00 PM EST","General"
"Fusion Psychology Workshop","by Letting Go Workshopsicon4.4","Thu, Dec 18 · 6:30 PM EST","General"
"CHRISTMAS Karaoke at Planet Rose and dinner at IHOP!","by Socially Awkward but I'm Tryingicon4.7","Sat, Dec 13 · 4:00 PM EST","General"
"Beyond binding: designing molecules for biological function","by New York Area Group for Informatics and Modeling (NYAGIM)icon4.9","Wed, Dec 10 · 6:00 PM EST","General"
"Holiday Lights Photo Walk Through Midtown Manhattan","by NYC Photographersicon4.8","Fri, Dec 12 · 6:15 PM EST","General"
"Dinner in Flatiron - Indian Cuisine","by Manhattan Women's Social Meetupicon4.9","Mon, Dec 8 · 6:30 PM EST","General"
"Columbia DSL Fall Semester Student Showcase - storytelling + emerging tech","by Columbia Digital Storytelling Labicon4.7","Mon, Dec 8 · 7:00 PM EST","General"
"Dance the EARLY Night Away! - East Village","by Manhattan Women's Social Meetupicon4.9","Sat, Dec 6 · 5:00 PM EST","General"
"New York Christmas Miracle Walk","by FreeWalkersicon4.8","Sat, Dec 6 · 2:00 PM EST","General"
"Outdoor Badminton in Central Park","by NYC Outdoor Badmintonicon4.7","Every Sat • Dec 6 · 12:00 PM EST","General"
"Stop Overthinking, Start Speaking - Confidence Training for Real Conversations","by Body Language Training | New Yorkicon4.6","Mon, Dec 8 · 7:30 PM EST","General"
"Writers Meetup in the West Village","by The Writing Groupicon4.8","Tue, Dec 9 · 6:00 PM EST","General"
"NYC Professionals Happy Hour","by City Social Happy Houricon4.4","Every two weeks on Tue • Dec 16 · 5:00 PM EST","General"
"Internationals and Language Mixer","by Social NYCicon4.7","Sat, Dec 6 · 8:00 PM EST","General"
"UX Happy Hour irl (open to all levels)","by UX Support Groupicon4.8","Every Thu • Dec 4 · 6:00 PM EST","General"
"Brooklyn Spanish Conversation","by Brooklyn Spanish Conversationicon4.9","Every two weeks on Thu • Dec 4 · 6:30 PM EST","General"
"Holiday Brunch at La Grande Boucherie","by NYC Brunch Clubicon4.8","Sat, Dec 20 · 1:00 PM EST","General"
"Pandora's Box: The Astrology of 2026 and Holiday Party","by The Big Apple Astrology Meetup Groupicon4.6","Thu, Dec 18 · 7:00 PM EST","General"
"Boardgames at Clinton Hall in Midtown East!","by NYC Boardgame Icebreakers - Meet • Drink •  Playicon4.7","Every two weeks on Wed • Dec 17 · 7:00 PM EST","General"
"UNTERMYER GARDENS HOLIDAY LIGHTS","by Outdoors Clubicon4.8","Sun, Dec 28 · 9:55 AM EST","General"
"Desktop PCB Assembly: Bringing SMT Manufacturing to Your Workbench","by IEEE Consultants Network of Long Island (LICN)icon4.7","Thu, Dec 4 · 7:00 PM EST","General"
"NYC - Agentic AI Meetup with Google Cloud","by ODSC AI New Yorkicon4.4","Fri, Dec 12 · 6:00 PM EST","General"
"Bryant Park Winter Wonderland - Veg*n Dinner & Holiday Visit","by The New York City Vegetarian & Vegan Meetupicon4.7","Fri, Dec 12 · 6:45 PM EST","General"
"Focal Point - LIC","by LIC Board Gamesicon4.9","Every Thu • Dec 4 · 7:00 PM EST","General"
"Wellness Thursdays: Breath and Meditation Workshop","by I Meditate NY (Art of Living NYC)icon4.6","Thu, Dec 4 · 6:30 PM EST","General"
"Sunday Night Gaming at Hex & Co. West","by Uptown NYC Board Gamersicon4.8","Every Sun • Dec 7 · 5:00 PM EST","General"
"Free NY Historical Society Museum Outing!","by 🗽NYC CONNECTS🗽icon4.5","Fri, Dec 5 · 5:45 PM EST","General"
"TOPSPIN - The NYC Ping Pong Meetup Group","by TOPSPIN - The NYC Ping Pong Meetup Groupicon4.8","Mon, Dec 8 · 6:30 PM EST","General"
"The 2025 iOSoho Holiday Party 🎉","by iOSoho - New York City's Largest iOS Engineer Meetupicon4.8","Wed, Dec 10 · 6:00 PM EST","General"
"RPG One-Shots—Beginners Welcome!","by NYC Tabletop RPGsicon4.9","Thu, Dec 4 · 6:00 PM EST","General"
"NY Public Library TTRPG Open Tables","by NYC Dice Goblins - Dungeons and Dragons 5E for Beginners+icon4.9","Sat, Dec 6 · 11:15 AM EST","General"
"AngularNYC - December 2025","by Angular NYCicon4.7","Thu, Dec 11 · 6:30 PM EST","General"
"Virtual Escape Room Night - NeuroSpicy Society","by The NeuroSpicy Societyicon4.8","Thu, Dec 4 · 7:00 PM EST","General"
"Let's drink wine @ The Tippler! (Chelsea)","by MAGNUM - The NYC Gay Men's Wine Socialicon4.8","Thu, Dec 18 · 6:00 PM EST","General"
"Practice Solving Data Structures and Algorithms Problems","by New York Software Schoolicon4.6","Thu, Dec 4 · 7:00 PM EST","General"
"Board Games 🎲 & FREE Dinner: 3x Chance to Win free Entree 😀 🌭🎲🍻","by Jersey City Social - 🍓 letsbunch.com 🍓icon4.8","Every Fri • Dec 5 · 6:00 PM EST","General"
"AIxUX Virtual Summit 2025","by UX Support Groupicon4.8","Wed, Dec 10 · 9:00 AM EST","General"
"Dyker Heights Christmas Lights (Brooklyn)","by Neverwinter Free Hiking and Cyclingicon4.7","Sat, Dec 20 · 4:30 PM EST","General"
"Spiritual Social Get-Together @ IBM Atrium","by Spirituality Social Meetup of NYCicon4.7","Sun, Dec 14 · 2:00 PM EST","General"
"Hybrid Event: Andrey Itkin - Semi-Analytical Pricing of American Options","by The Thalesiansicon4.6","Tue, Dec 9 · 6:00 PM EST","General"
"Free hip hop dance class!","by Fun events in NY!icon4.8","Every Sat • Dec 6 · 11:00 AM EST","General"
"Writers Meetup in the West Village","by The Writing Groupicon4.8","Tue, Dec 16 · 6:00 PM EST","General"
"Williamsburg French Fridays !","by Williamsburg French & Spanish Conversationsicon4.7","Every two weeks on Fri • Dec 5 · 7:00 PM EST","General"
"Tech Interview Workshop: Mock Interviews for Devs, PMs and other techies","by The Tech Lead NYC","Every Thu • Dec 4 · 6:00 PM EST","General"
"SpeakIt Language Exchange: Meet friends, practice, and share your language!","by SpeakIt NYCicon4.7","Thu, Dec 11 · 6:30 PM EST","General"
